Macro Processus;Processus;Sous-Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Ressources Humaines;Images;Juridique;Commercial;Criticité;Maturité CI
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de corruption;pot de vin versé (ou cadeau) par un porteur de projet pour benéficier d'un accompagnement  ;;;;;;;;"Existence d'une Charte de déontologie  qui pose des règles pour les relations avec les fournisseurs,partenaires et clients
validation des projets en Conseil de fondation  sur proposition des Comités tenues (éduction-santé et culture).

Procédure de selection des projets de mécénat et d’attribution des subsides et donations (limites, restrictions, bénéficiaires, approbation, etc.)

Formation des équipes de la fondation sur l'éthique et la compliance 

";Préventif;Manuelle;1;3;1;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de corruption;conflits d'intérêts dans le choix dess projets;;;;;;;;"Choix des projets en Codcir et Copil et validation DG ou DGA des dossiers
Signature d'une charte de déontologie intégrant les bonnes pratiques en matiere de corruption, de conflit d'interets et de confidentialité. ";Préventif;Manuelle;1;4;2;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de corruption;favoritisme dans le choix des projets ;;;;;;;;"Choix des projets en Codcir et Copil et validation DG ou DGA des dossiers
Signature d'une charte de déontologie intégrant les bonnes pratiques en matiere de corruption, de conflit d'interets et de confidentialité. ";Préventif;Manuelle;1;4;2;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de corruption;favoritisme dans le choix des prestataires;;;;;;;;"Cahier des charges rédigéeet envoyé aux acteurs.
Validation DG dans le choix du prestataire 
Signature d'une charte de déontologie intégrant les bonnes pratiques en matiere de corruption, de conflit d'interets et de confidentialité. ";Préventif;Manuelle;1;4;2;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;REX_Développer les relations publiques;REX_SP_Développer les relations publiques;SNT DCIRE \ REX;Développer les relations avec les parties prenantes (internes:aicales, partenaires sociaux et Externes : Etat, leaders d'opinions, assoc consommateurs, etc);Risque d'une communication non maîtrisée ou inadaptée;amalgamme entre les actions de Sonatel et de la fondation - absence de coordination entre la fondation et REX;;;;;;;;"Constitution d'une roadmap unique par agrégation des roadmaps de tous les départements

Validation de l'ensemble des projets par DCIRE sur note du DG ";Préventif;Manuelle;3;2;1;;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;REX_Développer les relations publiques;REX_SP_Développer les relations publiques;SNT DCIRE \ REX;Développer les relations avec les media;Risque d'une communication non maîtrisée ou inadaptée;exploitation insuffisante des canaux de communication;;;;;;;;"exploitation des canaux classqiues : télé, radio,presse, Internet
Collaboration avec des structures étatiques et privées, des organismes,

Définition d'une stratégie media en début d'année sur la base du baromètre unique, le bilan media (tonalité de notre actualité sur les media) de l'année N-1";Préventif;Manuelle;1;2;1;;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;REX_Développer les relations publiques;REX_SP_Développer les relations publiques;SNT DCIRE \ REX;Développer les relations avec les parties prenantes (internes:aicales, partenaires sociaux et Externes : Etat, leaders d'opinions, assoc consommateurs, etc);Risque d'une communication non maîtrisée ou inadaptée;Maîtrise insuffisante de nos relations avec les leaders d'opinion;;;;;;;;"Mise en place de nouveaux concepts : 
 - le pencum dans des localités:  présentation de Sonatel et écoute des représentants de la localité;
 - sonatel si sunu gox - dialogue partie prenante : talk sur des thématiques ou en accompagnement d'autres manifestations

Objectif de preésence de DG à 2 pencum sur 4

Organisations fréquentes de rencontres avec les parties prenantes ( leaders d'opinions, association des consommateurs, patronnat, etc)Anticipation au maximum sur les crises perçuesExploitation des rapports de veille de DSD
En cas de crise, mise en place d'un planning de visites d'influence des leaders d'opinion; activation de leviers de lobbying comme les associations corporatrices, l'ARTP, etc";Préventif;Manuelle;2;2;1;;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;REX_Développer les relations publiques;REX_SP_Développer les relations publiques;SNT DCIRE \ REX;Développer les relations avec les media;Risque d'une communication non maîtrisée ou inadaptée;Etablissement d'une corrélation directe entre les profits de la Sonatel et les douleurs clients;;;;;;;;"Communication sur les tarifs et les baisses apportées avant la parution des résultats annuels Les actions de la Fondation et la politique RSE contribuent à une amélioration de l'image de la SONATEL
Mise en avant des actions RSE, etc";Préventif;Manuelle;2;2;1;;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;REX_Développer les relations publiques;REX_SP_Développer les relations publiques;SNT DCIRE \ REX;Développer les relations avec les parties prenantes (internes:aicales, partenaires sociaux et Externes : Etat, leaders d'opinions, assoc consommateurs, etc);Risque de Corruption;Sollicitations par des officiels ou autres fournisseurs ou partenaires;;;;;;;;"Code de déontologie, politique anti-corruption Groupe 
Formation des populations sensibles (sessions dédiées, e-learning éthique et corruption, concurrence, sécurité des données, etc.)
Communication claire aux équipes sur la confidentialité de l’information.
décisions prises en comité
Toute demande d’une administration doit faire l’objet d’une requête officielle (commission rogatoire, etc.)
Validation des contrats/achats avec la presse par DAL";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;REX_Développer les relations publiques;REX_SP_Développer les relations publiques;SNT DCIRE \ REX;Développer les relations avec les parties prenantes (internes:aicales, partenaires sociaux et Externes : Etat, leaders d'opinions, assoc consommateurs, etc);Risque de Corruption;Image de marque à conforter;;;;;;;;"Communication des politiques et procédures (anti-corruption, éthique, etc.) à tous les employés (intranet, Compliance Day, etc.)
Sensibilisation des tiers (partenaires, fournisseurs, etc.) aux politiques du groupe Orange en matière de prévention de la corruption
Formation des populations sensibles (sessions dédiées, e-learning éthique et corruption, etc.)
Eléments de traçabilité en lien avec la politique des cadeaux reçus et/ou émis (communication des seuils)
Dispositif de traçabilité des donations (reçu officiel, certificat, etc.)";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;REX_Développer les relations publiques;REX_SP_Développer les relations publiques;SNT DCIRE \ REX;Développer les relations avec les parties prenantes (internes:aicales, partenaires sociaux et Externes : Etat, leaders d'opinions, assoc consommateurs, etc);Risque de Corruption;Absence de Due Diligence;;;;;;;;"Due Diligence des partenaires et archivage par ARQ/PACO
Formation des populations sensibles 
Dispositif d’alerte (whistleblowing) existant, communiqué et accessible par tous";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;REX_Développer les relations publiques;REX_SP_Développer les relations publiques;SNT DCIRE \ REX;Développer les relations avec les parties prenantes (internes:aicales, partenaires sociaux et Externes : Etat, leaders d'opinions, assoc consommateurs, etc);Risque de Corruption;Conflits d’intérêt;;;;;;;;"- Existence d'une Charte de déontologie  qui pose des règles pour les relations avec les fournisseurs,partenaires et clients
-Signature de la « déclaration de conflits d’intérêts » en cas de conflit potentiel.";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;SP_Développer les relations presse;SP_SP_Développer les relations presse;SNT DCIRE \ REX;Développer les relations avec les parties prenantes (internes:aicales, partenaires sociaux et Externes : Etat, leaders d'opinions, assoc consommateurs, etc);Risque de réputation (image négative);Lobbying négatif des détracteurs de sonatel;;;;;;;;"""Construction d'un réseau d'ambassadeurs digitaux (internes et externes) pour réagir aux publications défavorables quand c'est nécessaireEn fonction du sujet, la direction générale peut fournir des """"précisions"""" sur le sujet validé par le domaine d'activités

Mise en place d'un social hub qui coordonnera l'ensemble des actions digitales -veille et anticipation des actions et gestion de crise (DCIRE, DMGP, DDE, DSC, DRH et DSD  + l'agence digitale)";Préventif;Manuelle;1;2;1;;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;SP_Développer les relations presse;SP_SP_Développer les relations presse;SNT DCIRE \ REX;Communiquer sur les activités RSE du groupe SONATEL;Risque de réputation (image négative);Sorties négatives des syndicats dans la presse;;;;;;;;"""Construction d'un réseau d'ambassadeurs digitaux (internes et externes) pour réagir aux publications défavorables quand c'est nécessaireEn fonction du sujet, la direction générale peut fournir des """"précisions"""" sur le sujet validé par le domaine d'activités";Préventif;Manuelle;1;2;1;;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;SP_Développer les relations presse;SP_SP_Développer les relations presse;SNT DCIRE \ REX;Développer les relations avec la presse et les media sociaux;Risque d'une communication non maîtrisée ou inadaptée;Publication d'articles défavorables à la SONATEL par certains organes de presse;;;;;;;;"Mise en place de contrat media RP (Relations Presse) avec les organes de presse qui ne sont pas sous contrat media avec l'agence de communication piloté par DMGP
Construction de relations de partenariat avec les organes de presse";Préventif;Manuelle;1;1;1;1;3;1;;3;
Développer la Communication Institutionnelle et les Relations extérieures;SP_Développer les relations presse;SP_SP_Développer les relations presse;SNT DCIRE \ REX;Développer les relations avec  les media ;Risque d'une communication non maîtrisée ou inadaptée;Mauvaise interprétation d'une actualité ;;;;;;;;"Collecte des informations nécessaires pour la rédaction du communiqué - Validation du communiqué par les différents acteurs

Contact presse indiqué sur communiqué pour permettre aux journalistes qui le souhaitent d'appeler pour obtenir des explications, afin d'assurer une bonne compréhension du communiqué par la presse";Préventif;Manuelle;1;1;1;1;3;1;;3;
Développer la Communication Institutionnelle et les Relations extérieures;SP_Développer les relations presse;SP_SP_Développer les relations presse;SNT DCIRE \ REX;Développer les relations avec  les media ;Risque d'une communication non maîtrisée ou inadaptée;Prises de paroles spontanées;;;;;;;;"Centralisation de la communication au niveau de DCIRE qui est l'unique interface avec la presse - Contact presse communiqué aux journalistes

Existence de procédures sur la Communication disponibles sur Intracom et qualitoo et d'une note DG sur les prises de parole institutionnelleCommunication : collecte des informations, traitement, diffusion";Préventif;Manuelle;1;1;1;1;3;1;;3;
Développer la Communication Institutionnelle et les Relations extérieures;SP_Développer les relations presse;SP_SP_Développer les relations presse;SNT DCIRE \ REX;Développer les relations avec la presse et les media sociaux;Risque de Corruption;Cadeaux pour conformer l'image  de marque (critique favorable);;;;;;;;"Communication des politiques et procédures (anti-corruption, éthique, etc.) à tous les employés (intranet, Compliance Day, etc.)
Sensibilisation des tiers (partenaires, fournisseurs, etc.) aux politiques du groupe Orange en matière de prévention de la corruption
Formation des populations sensibles (sessions dédiées, e-learning éthique et corruption, etc.)
Eléments de traçabilité en lien avec la politique des cadeaux reçus et/ou émis (communication des seuils)
Dispositif de traçabilité des donations (reçu officiel, certificat, etc.)";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;SP_Développer les relations presse;SP_SP_Développer les relations presse;SNT DCIRE \ REX;Développer les relations avec la presse et les media sociaux;Risque de Corruption;Absence de formation/sensibilisation;;;;;;;;"Communication des politiques et procédures (anti-corruption, éthique, etc.) à tous les employés (intranet, Compliance Day, etc.)

Formation des populations sensibles (sessions dédiées, e-learning éthique et corruption, etc.)";Préventif;Manuelle;2;4;4;4;4;4;;2;
